resort_name,country,latitude,longitude
Wengen,CH,46.59828,7.90880
Belpiano–Malga San Valentino,IT,46.82964,10.51831
Val di Fiemme–Obereggen,IT,46.29119,11.46047
Hochzillertal–Hochfügen,AT,47.28923,11.87286
San Martino di Castrozza–Passo Rolle,IT,46.25499,11.79934
Megève,FR,45.85002,6.61477
Saint-Gervais-les-Bains,FR,45.87480,6.68587
Axamer Lizum,AT,47.19537,11.30210
Obertauern,AT,47.24944,13.55696
Obersaxen–Mundaun,CH,46.74829,9.10218
Arêches-Beaufort,FR,45.68812,6.56237
Gargellen,AT,46.96827,9.91887
Galtür,AT,46.96463,10.16223
Kronplatz,IT,46.77666,11.95029
Avoriaz,FR,46.19769,6.76800
Champéry,CH,46.17490,6.87108
Morgins,CH,46.23676,6.85814
Chamrousse,FR,45.12621,5.87697
Bad Hofgastein,AT,47.16921,13.09881
3 Zinnen Dolomites,IT,46.73164,12.32978
Kleinwalsertal,AT,47.35584,10.18486
Oberstdorf,DE,47.40494,10.28541
Flumserberg,CH,47.09350,9.28529
Alpe di Siusi,IT,46.53987,11.56334
Katschberg,AT,47.05915,13.61566
Châtel,FR,46.25439,6.82030
Adelboden,CH,46.48790,7.56053
Lenk,CH,46.44184,7.45684
Leysin,CH,46.34647,7.01730
Gstaad,CH,46.46767,7.28214
Wildkogel (Neukirchen–Bramberg),AT,47.25439,12.28077
Villars–Gryon,CH,46.30402,7.05593
Le Grand-Bornand,FR,45.97382,6.45508
Civetta,IT,46.40664,12.02146
Fieberbrunn,AT,47.46724,12.55113
Leogang,AT,47.43925,12.71883
Saalbach-Hinterglemm,AT,47.39047,12.63479
Prato Nevoso – Mondolè Ski,IT,44.25529,7.78559
Notre-Dame-de-Bellecombe,FR,45.80840,6.51715
Praz-sur-Arly,FR,45.83792,6.57045
Bad Kleinkirchheim,AT,46.81230,13.79887
Villard-de-Lans–Corrençon,FR,45.04611,5.55721
Damüls–Mellau,AT,47.28669,9.88793
Großarl–Dorfgastein,AT,47.24157,13.19517
Alpbach,AT,47.39621,11.92432
Wildschönau,AT,47.40818,12.03719
Valberg,FR,44.09562,6.93014
Morzine,FR,46.17990,6.70194
Schladming,AT,47.39264,13.69331
Les Gets,FR,46.15678,6.66828
Nassfeld,AT,46.61147,13.27936
Praz de Lys–Sommand,FR,46.14635,6.58130
Kitzbühel,AT,47.44323,12.38936
Kirchberg in Tirol,AT,47.45038,12.33508
Zell am See,AT,47.32630,12.77236
Flachau,AT,47.35343,13.38562
St. Johann–Alpendorf,AT,47.32135,13.19505
Wagrain,AT,47.33411,13.30834
Les Saisies,FR,45.75733,6.53945
Combloux,FR,45.89164,6.62208
Hochkönig (Maria Alm–Dienten–Mühlbach),AT,47.38974,12.90895
Brixen im Thale,AT,47.44948,12.24331
Ellmau,AT,47.50784,12.29313
Hopfgarten im Brixental,AT,47.44667,12.16220
Scheffau,AT,47.52002,12.24895
Söll,AT,47.49629,12.19831
Westendorf,AT,47.42748,12.21406
Folgaria–Lavarone,IT,45.91703,11.16725
