name,url,country,region,subregion,vertical,base_m,top_m,km,lifts,price,list
Weissee Gletscherwelt – Uttendorf,https://www.skiresort.com/en/ski-resort/weissee-gletscherwelt-uttendorf/,Austria,Salzburg (Salzburger Land),Pinzgau / Stubachtal,1118,1482,2600,23,7,"€ 51,-",slope+alt
Wurzeralm – Spital am Pyhrn,https://www.skiresort.com/en/ski-resort/wurzeralm-spital-am-pyhrn/,Austria,Upper Austria (Oberösterreich),Steyr-Kirchdorf / Kirchdorf an der Krems / Pyhrn-Priel,1060,810,1870,22.5,8,,slope+alt
Sillian – Thurntaler (Hochpustertal),https://www.skiresort.com/en/ski-resort/sillian-thurntaler-hochpustertal/,Austria,Tyrol (Tirol),Osttirol (East Tyrol) / East Tyrolean Hochpustertal,1307,1100,2407,22.4,7,"€ 74,-",slope+alt
Vogel – Bohinj,https://www.skiresort.com/en/ski-resort/vogel-bohinj/,Slovenia,Gorenjska (Upper Carniola),,1231,569,1800,22,9,"€ 45,-",slope+alt
Reinswald (San Martino in Sarentino),https://www.skiresort.com/en/ski-resort/reinswald-san-martino-in-sarentino/,Italy,Trentino-Alto Adige (Trentino-Südtirol),South Tyrol (Südtirol) / Bolzano and environs / Val Sarentino (Sarntal),890,1570,2460,22,4,"€ 54,-",slope+alt
Foppolo/Carona (Brembo Ski),https://www.skiresort.com/en/ski-resort/foppolo-carona-brembo-ski/,Italy,Lombardy,Bergamo / Val Brembana,528,1635,2163,22,9,"€ 40,-",slope+alt
Altopiano di Brentonico – Polsa/San Valentino,https://www.skiresort.com/en/ski-resort/altopiano-di-brentonico-polsa-san-valentino/,Italy,Trentino-Alto Adige (Trentino-Südtirol),Trentino / Rovereto/​Vallagarina/​Altopiano di Brentonico,388,1195,1583,22,7,"€ 48,-",slope+alt
Hochkössen (Unterberghorn) – Kössen,https://www.skiresort.com/en/ski-resort/hochkoessen-unterberghorn-koessen/,Austria,Tyrol (Tirol),Tiroler Unterland / Kaiserwinkl,1075,613,1688,21.7,11,"€ 36,-",slope+alt
Crévoux,https://www.skiresort.com/en/ski-resort/crevoux/,France,Provence-Alpes-Côte d’Azur,Hautes-Alpes / Gap,936,1600,2536,21.5,6,"€ 29,-",slope+alt
Colere,https://www.skiresort.com/en/ski-resort/colere/,Italy,Lombardy,Bergamo,1118,1060,2178,21.3,5,"€ 48,-",slope+alt
Valmalenco – Alpe Palù,https://www.skiresort.com/en/ski-resort/valmalenco-alpe-palu/,Italy,Lombardy,Valtellina / Valmalenco,826,1527,2353,21.3,9,"€ 58,-",slope+alt
Buchensteinwand (Pillersee) – St. Ulrich am Pillersee/St. Jakob in Haus/Hochfilzen,https://www.skiresort.com/en/ski-resort/buchensteinwand-pillersee-st-ulrich-am-pillersee-st-jakob-in-haus-hochfilzen/,Austria,Tyrol (Tirol),Tiroler Unterland / Kitzbüheler Alpen / Pillersee Valley (Pillerseetal),601,855,1456,21.2,9,"€ 50,-",slope+alt
