name,url,country,region,subregion,vertical,base_m,top_m,km,lifts,price,list
Les 3 Vallées – Val Thorens/Les Menuires/Méribel/Courchevel,https://www.skiresort.com/en/ski-resort/les-3-vallees-val-thorens-les-menuires-meribel-courchevel/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Savoie / Albertville / Tarentaise,2130,1100,3230,600,159,€ 81.80,slope+alt+glacier
Les Portes du Soleil – Morzine/Avoriaz/Les Gets/Châtel/Morgins/Champéry,https://www.skiresort.com/en/ski-resort/les-portes-du-soleil-morzine-avoriaz-les-gets-chatel-morgins-champery/,Switzerland,Lemanic Region,Valais (Wallis) / Val d'Illiez / Europe / France / Auvergne-Rhône-Alpes / Savoie Mont Blanc / Haute-Savoie / Portes du Soleil,1269,985,2254,580,164,"€ 72,-",slope+alt
4 Vallées – Verbier/La Tzoumaz/Nendaz/Veysonnaz/Thyon,https://www.skiresort.com/en/ski-resort/4-vallees-verbier-la-tzoumaz-nendaz-veysonnaz-thyon/,Switzerland,Lemanic Region,Valais (Wallis) / Val d’Hérens / Europe / Switzerland / Lemanic Region / Valais (Wallis) / Val de Bagnes,1980,1350,3330,412,68,"SFr. 94,- / approx. € 100,-",slope+alt+glacier
Via Lattea – Sestriere/Sauze d’Oulx/San Sicario/Claviere/Montgenèvre,https://www.skiresort.com/en/ski-resort/via-lattea-sestriere-sauze-doulx-san-sicario-claviere-montgenevre/,Italy,Piedmont (Piemonte),Turin (Torino) / Europe / France / Provence-Alpes-Côte d’Azur / Hautes-Alpes / Briançon,1251,1538,2789,400,69,"€ 66,-",slope+alt
Zermatt/Breuil-Cervinia/Valtournenche – Matterhorn,https://www.skiresort.com/en/ski-resort/zermatt-breuil-cervinia-valtournenche-matterhorn/,Switzerland,Lemanic Region,Valais (Wallis) / Zermatt-Matterhorn / Europe / Italy / Aosta Valley (Valle d'Aosta) / Matterhorn (Monte Cervino),2337,1562,3899,322,51,"SFr. 116,- / approx. € 123,-",slope+alt+glacier
Tignes/Val d'Isère,https://www.skiresort.com/en/ski-resort/tignes-val-disere/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Savoie / Albertville / Tarentaise,1906,1550,3456,300,80,"€ 75,-",slope+alt+glacier
St. Anton/St. Christoph/Stuben/Lech/Zürs/Warth/Schröcken – Ski Arlberg,https://www.skiresort.com/en/ski-resort/st-anton-st-christoph-stuben-lech-zuers-warth-schroecken-ski-arlberg/,Austria,Tyrol (Tirol),Tiroler Oberland / Landeck / St. Anton am Arlberg / Europe / Austria / Vorarlberg / Bregenz / Bregenzerwald,1507,1304,2811,299.7,85,€ 81.50,slope+alt
SkiWelt Wilder Kaiser-Brixental,https://www.skiresort.com/en/ski-resort/skiwelt-wilder-kaiser-brixental/,Austria,Tyrol (Tirol),Tiroler Unterland / Wilder Kaiser / Europe / Austria / Tyrol (Tirol) / Tiroler Unterland / Kitzbüheler Alpen / Brixental / Europe / Austria / Tyrol (Tirol) / Tiroler Unterland / Kitzbüheler Alpen / Holiday Region Hohe Salve,1249,620,1869,275,81,€ 79.50,slope+alt
Les Sybelles – Le Corbier/La Toussuire/Les Bottières/St Sorlin/St Jean d’Arves,https://www.skiresort.com/en/ski-resort/les-sybelles-le-corbier-la-toussuire-les-bottieres-st-sorlin-st-jean-darves/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Savoie / Maurienne,1520,1100,2620,275,61,€ 60.50,slope+alt
Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),https://www.skiresort.com/en/ski-resort/saalbach-hinterglemm-leogang-fieberbrunn-skicircus/,Austria,Salzburg (Salzburger Land),Pinzgau / Glemmtal / Europe / Austria / Salzburg (Salzburger Land) / Pinzgau / Saalfelden Leogang / Europe / Austria / Tyrol (Tirol) / Tiroler Unterland / Kitzbüheler Alpen / Pillersee Valley (Pillerseetal),1266,830,2096,270,69,"€ 82,-",slope+alt
Le Grand Massif – Flaine/Les Carroz/Morillon/Samoëns/Sixt,https://www.skiresort.com/en/ski-resort/le-grand-massif-flaine-les-carroz-morillon-samoens-sixt/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Haute-Savoie / Bonneville / Faucigny / Europe / France / Auvergne-Rhône-Alpes / Savoie Mont Blanc / Haute-Savoie / Bonneville / Faucigny Grand Massif,1783,697,2480,265,63,"€ 61,-",slope+alt
Serre Chevalier – Briançon/Chantemerle/Villeneuve-la-Salle/Le Monêtier-les-Bains,https://www.skiresort.com/en/ski-resort/serre-chevalier-briancon-chantemerle-villeneuve-la-salle-le-monetier-les-bains/,France,Provence-Alpes-Côte d’Azur,Hautes-Alpes / Briançon / Vallée de la Guisane,1600,1200,2800,250,59,€ 65.50,slope+alt
Alpe d'Huez,https://www.skiresort.com/en/ski-resort/alpe-dhuez/,France,Auvergne-Rhône-Alpes,Isère / Grenoble,2205,1125,3330,250,68,"€ 66,-",slope+alt+glacier
Ischgl/Samnaun – Silvretta Arena,https://www.skiresort.com/en/ski-resort/ischgl-samnaun-silvretta-arena/,Austria,Tyrol (Tirol),Tiroler Oberland / Landeck / Paznaun-Ischgl / Europe / Switzerland / Eastern Switzerland / Graubünden / Engadin Samnaun Val Müstair,1512,1360,2872,239,45,"€ 83,-",slope+alt
Arosa Lenzerheide,https://www.skiresort.com/en/ski-resort/arosa-lenzerheide/,Switzerland,Eastern Switzerland,Graubünden / Arosa / Europe / Switzerland / Eastern Switzerland / Graubünden / Lenzerheide,1636,1229,2865,225,43,"SFr. 89,- / approx. € 94,-",slope+alt
La Plagne (Paradiski),https://www.skiresort.com/en/ski-resort/la-plagne-paradiski/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Savoie / Albertville / Tarentaise,1960,1207,3167,225,74,"€ 70,-",slope+alt+glacier
Les 2 Alpes,https://www.skiresort.com/en/ski-resort/les-2-alpes/,France,Auvergne-Rhône-Alpes,Isère / Grenoble,2243,1280,3523,220,40,"€ 66,-",slope+alt+glacier
Les Arcs/Peisey-Vallandry (Paradiski),https://www.skiresort.com/en/ski-resort/les-arcs-peisey-vallandry-paradiski/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Savoie / Albertville / Tarentaise,2026,1200,3226,200,52,"€ 70,-",slope+alt+glacier
Espace Diamant – Les Saisies/Notre-Dame-de-Bellecombe/Praz sur Arly/Flumet/Crest-Voland,https://www.skiresort.com/en/ski-resort/espace-diamant-les-saisies-notre-dame-de-bellecombe-praz-sur-arly-flumet-crest-voland/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Savoie / Albertville / Beaufortain / Europe / France / Auvergne-Rhône-Alpes / Savoie Mont Blanc / Haute-Savoie / Bonneville / Pays du Mont Blanc / Europe / France / Auvergne-Rhône-Alpes / Savoie Mont Blanc / Savoie / Albertville / Val d'Arly,1069,1000,2069,192,80,"€ 50,-",slope+alt
KitzSki – Kitzbühel/Kirchberg,https://www.skiresort.com/en/ski-resort/kitzski-kitzbuehel-kirchberg/,Austria,Tyrol (Tirol),Tiroler Unterland / Kitzbühel (District) / Kitzbühel / Europe / Austria / Tyrol (Tirol) / Tiroler Unterland / Kitzbüheler Alpen / Brixental / Europe / Austria / Salzburg (Salzburger Land) / Pinzgau,1200,800,2000,188,58,"€ 83,-",slope+alt
Serfaus-Fiss-Ladis,https://www.skiresort.com/en/ski-resort/serfaus-fiss-ladis/,Austria,Tyrol (Tirol),Tiroler Oberland (region) / Landeck / Serfaus-Fiss-Ladis,1628,1200,2828,186,38,"€ 78,-",slope+alt
Megève/Saint-Gervais,https://www.skiresort.com/en/ski-resort/megeve-saint-gervais/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Haute-Savoie / Bonneville / Pays du Mont Blanc,1503,850,2353,185,60,€ 63.50,slope+alt
Vars/Risoul – La Forêt Blanche,https://www.skiresort.com/en/ski-resort/vars-risoul-la-foret-blanche/,France,Provence-Alpes-Côte d’Azur,Hautes-Alpes / Briançon,1100,1650,2750,185,34,"€ 58,-",slope+alt
Val Gardena (Gröden),https://www.skiresort.com/en/ski-resort/val-gardena-groeden/,Italy,Trentino-Alto Adige (Trentino-Südtirol),South Tyrol (Südtirol) / Val Gardena (Gröden),1282,1236,2518,181,78,,slope+alt
Espace Lumière – Pra Loup/Val d’Allos,https://www.skiresort.com/en/ski-resort/espace-lumiere-pra-loup-val-dallos/,France,Provence-Alpes-Côte d’Azur,Alpes-de-Haute-Provence / Castellane / Val d'Allos (Haut Verdon) / Europe / France / Provence-Alpes-Côte d’Azur / Alpes-de-Haute-Provence / Barcelonnette / Vallée de l'Ubaye,968,1608,2576,180,36,€ 48.50,slope+alt
Laax/Flims/Falera,https://www.skiresort.com/en/ski-resort/laax-flims-falera/,Switzerland,Eastern Switzerland,Graubünden / Flims Laax Falera,1918,1100,3018,176,29,,slope+alt+glacier
Le Grand Domaine – Valmorel/Doucy/Celliers/St François Longchamp,https://www.skiresort.com/en/ski-resort/le-grand-domaine-valmorel-doucy-celliers-st-francois-longchamp/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Savoie / Albertville / Tarentaise,1264,1250,2514,165,43,€ 58.50,slope+alt
Galibier Thabor – Valmeinier/Valloire,https://www.skiresort.com/en/ski-resort/galibier-thabor-valmeinier-valloire/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Savoie / Maurienne,1320,1430,2750,160,30,€ 53.60,slope+alt
Madonna di Campiglio/Pinzolo/Folgàrida/Marilleva,https://www.skiresort.com/en/ski-resort/madonna-di-campiglio-pinzolo-folgarida-marilleva/,Italy,Trentino-Alto Adige (Trentino-Südtirol),Trentino / Val di Sole (Sole Valley) / Europe / Italy / Trentino-Alto Adige (Trentino-Südtirol) / Trentino / Madonna di Campiglio/​Pinzolo/​Val Rendena,1652,852,2504,155,58,"€ 85,-",slope+alt
St. Moritz – Corviglia,https://www.skiresort.com/en/ski-resort/st-moritz-corviglia/,Switzerland,Eastern Switzerland,Graubünden / Engadin St. Moritz,1285,1772,3057,155,23,,slope+alt
Zillertal Arena – Zell am Ziller/Gerlos/Königsleiten/Hochkrimml,https://www.skiresort.com/en/ski-resort/zillertal-arena-zell-am-ziller-gerlos-koenigsleiten-hochkrimml/,Austria,Tyrol (Tirol),Tiroler Unterland / Schwaz / Zillertal / Zell-Gerlos,1920,580,2500,150.1,52,"€ 82,-",slope+alt
Sölden,https://www.skiresort.com/en/ski-resort/soelden/,Austria,Tyrol (Tirol),Tiroler Oberland (region) / Imst (District) / Ötztal,1990,1350,3340,145.7,31,€ 86.50,slope+alt+glacier
Espace San Bernardo – La Rosière/La Thuile,https://www.skiresort.com/en/ski-resort/espace-san-bernardo-la-rosiere-la-thuile/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Savoie / Albertville / Tarentaise / Europe / Italy / Aosta Valley (Valle d'Aosta) / Mont Blanc (Monte Bianco),1610,1190,2800,143.1,37,"€ 58,-",slope+alt
Mayrhofen – Penken/Ahorn/Rastkogel/Eggalm (Mountopolis),https://www.skiresort.com/en/ski-resort/mayrhofen-penken-ahorn-rastkogel-eggalm-mountopolis/,Austria,Tyrol (Tirol),Tiroler Unterland / Schwaz / Zillertal / Mayrhofen-Hippach / Europe / Austria / Tyrol (Tirol) / Tiroler Unterland / Schwaz / Zillertal / Tux-Finkenberg,1870,630,2500,142,61,"€ 82,-",slope+alt
Silvretta Montafon,https://www.skiresort.com/en/ski-resort/silvretta-montafon/,Austria,Vorarlberg,Bludenz / Montafon,1730,700,2430,141.6,35,"€ 77,-",slope+alt
Crans-Montana,https://www.skiresort.com/en/ski-resort/crans-montana/,Switzerland,Lemanic Region,Valais (Wallis),1417,1510,2927,140,24,"SFr. 89,- / approx. € 94,-",slope+alt+glacier
Auron (Saint-Etienne-de-Tinée),https://www.skiresort.com/en/ski-resort/auron-saint-etienne-de-tinee/,France,Provence-Alpes-Côte d’Azur,Alpes-Maritimes / Nice,850,1600,2450,135,16,"€ 44,-",slope+alt
Alagna Valsesia/Gressoney-La-Trinité/Champoluc/Frachey (Monterosa Ski),https://www.skiresort.com/en/ski-resort/alagna-valsesia-gressoney-la-trinite-champoluc-frachey-monterosa-ski/,Italy,Aosta Valley (Valle d'Aosta),Monte Rosa / Europe / Italy / Piedmont (Piemonte) / Valsesia (Valle della Sesia),2063,1212,3275,132,21,"€ 69,-",slope+alt+glacier
Alta Badia,https://www.skiresort.com/en/ski-resort/alta-badia/,Italy,Trentino-Alto Adige (Trentino-Südtirol),South Tyrol (Südtirol) / Alta Badia,1454,1324,2778,130,53,"€ 80,-",slope+alt
Kronplatz (Plan de Corones),https://www.skiresort.com/en/ski-resort/kronplatz-plan-de-corones/,Italy,Trentino-Alto Adige (Trentino-Südtirol),South Tyrol (Südtirol) / Plan de Corones (Kronplatz),1302,973,2275,125,32,"€ 80,-",slope+alt
Val Cenis – Lanslevillard/Lanslebourg/Termignon,https://www.skiresort.com/en/ski-resort/val-cenis-lanslevillard-lanslebourg-termignon/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Savoie / Maurienne / Haute Maurienne Vanoise,1500,1300,2800,125,28,€ 49.50,slope+alt
Espace Villard Corrençon – Villard-de-Lans/Corrençon-en-Vercors,https://www.skiresort.com/en/ski-resort/espace-villard-correncon-villard-de-lans-correncon-en-vercors/,France,Auvergne-Rhône-Alpes,Isère / Grenoble,1000,1050,2050,125,19,"€ 43,-",slope+alt
La Clusaz/Manigod,https://www.skiresort.com/en/ski-resort/la-clusaz-manigod/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Haute-Savoie / Bornes Aravis,1435,1050,2485,125,49,€ 54.50,slope+alt
Schladming – Planai/Hochwurzen/Hauser Kaibling/Reiteralm (4-Berge-Skischaukel),https://www.skiresort.com/en/ski-resort/schladming-planai-hochwurzen-hauser-kaibling-reiteralm-4-berge-skischaukel/,Austria,Styria (Steiermark),Liezen / Schladming-Dachstein,1287,728,2015,123,47,€ 78.50,slope+alt
Snow Space Salzburg – Flachau/Wagrain/St. Johann-Alpendorf,https://www.skiresort.com/en/ski-resort/snow-space-salzburg-flachau-wagrain-st-johann-alpendorf/,Austria,Salzburg (Salzburger Land),Pongau / Salzburger Sportwelt,1240,740,1980,120.1,43,"€ 75,-",slope+alt
Hochkönig – Maria Alm/Dienten/Mühlbach,https://www.skiresort.com/en/ski-resort/hochkoenig-maria-alm-dienten-muehlbach/,Austria,Salzburg (Salzburger Land),Hochkönig,1100,800,1900,120,34,€ 78.50,slope+alt
Obersaxen/Mundaun/Val Lumnezia,https://www.skiresort.com/en/ski-resort/obersaxen-mundaun-val-lumnezia/,Switzerland,Eastern Switzerland,Graubünden / Surselva,1109,1201,2310,120,15,"SFr. 67,- / approx. € 71,-",slope+alt
Cortina d'Ampezzo,https://www.skiresort.com/en/ski-resort/cortina-dampezzo/,Italy,Venetia (Veneto),Belluno / Cortina d’Ampezzo,1611,1217,2828,120,25,"€ 80,-",slope+alt
Corvatsch/Furtschellas,https://www.skiresort.com/en/ski-resort/corvatsch-furtschellas/,Switzerland,Eastern Switzerland,Graubünden / Engadin St. Moritz,1506,1797,3303,120,14,,slope+alt+glacier
Les 7 Laux – Prapoutel/Le Pleynet/Pipay,https://www.skiresort.com/en/ski-resort/les-7-laux-prapoutel-le-pleynet-pipay/,France,Auvergne-Rhône-Alpes,Isère / Grenoble / « / ‹ / 1,1050,1350,2400,120,22,"€ 43,-",slope+alt
Les Contamines/Hauteluce,https://www.skiresort.com/en/ski-resort/les-contamines-hauteluce/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Savoie / Albertville / Beaufortain / Europe / France / Auvergne-Rhône-Alpes / Savoie Mont Blanc / Haute-Savoie / Bonneville / Pays du Mont Blanc,1273,1164,2437,120,24,€ 54.50,slope+alt
Isola 2000,https://www.skiresort.com/en/ski-resort/isola-2000/,France,Provence-Alpes-Côte d’Azur,Alpes-Maritimes / Nice,803,1800,2603,120,20,"€ 44,-",slope+alt
Livigno,https://www.skiresort.com/en/ski-resort/livigno/,Italy,Lombardy,Valtellina / Alta Valtellina,982,1816,2798,115,32,"€ 72,-",slope+alt
Grimentz/Zinal,https://www.skiresort.com/en/ski-resort/grimentz-zinal/,Switzerland,Lemanic Region,Valais (Wallis) / Val d'Anniviers,1330,1570,2900,115,21,"SFr. 73,- / approx. € 77,-",slope+alt
Gurgl – Obergurgl-Hochgurgl,https://www.skiresort.com/en/ski-resort/gurgl-obergurgl-hochgurgl/,Austria,Tyrol (Tirol),Tiroler Oberland (region) / Imst (District) / Ötztal,1237,1793,3030,112.2,25,,slope+alt
Nassfeld – Hermagor,https://www.skiresort.com/en/ski-resort/nassfeld-hermagor/,Austria,Carinthia (Kärnten),Nassfeld-Pressegger See,1402,600,2002,110,29,€ 69.50,slope+alt
Mondolè Ski – Artesina/Frabosa Soprana/Prato Nevoso,https://www.skiresort.com/en/ski-resort/mondole-ski-artesina-frabosa-soprana-prato-nevoso/,Italy,Piedmont (Piemonte),Cuneo,1278,807,2085,105.3,24,"€ 52,-",slope+alt
Aletsch Arena – Riederalp/Bettmeralp/Fiesch Eggishorn,https://www.skiresort.com/en/ski-resort/aletsch-arena-riederalp-bettmeralp-fiesch-eggishorn/,Switzerland,Lemanic Region,Valais (Wallis) / Aletsch Arena,1024,1845,2869,104,35,"SFr. 66,- / approx. € 70,-",slope+alt
Bad Kleinkirchheim,https://www.skiresort.com/en/ski-resort/bad-kleinkirchheim/,Austria,Carinthia (Kärnten),Upper Carinthia (Oberkärnten) / Spittal an der Drau,968,1087,2055,103,24,€ 69.50,slope+alt
Kleine Scheidegg/Männlichen – Grindelwald/Wengen,https://www.skiresort.com/en/ski-resort/kleine-scheidegg-maennlichen-grindelwald-wengen/,Switzerland,Espace Mittelland,Bern / Bernese Oberland / Jungfrau Region,1456,944,2400,101,23,"SFr. 83,- / approx. € 88,-",slope+alt
Obertauern,https://www.skiresort.com/en/ski-resort/obertauern/,Austria,Salzburg (Salzburger Land),Lungau / Europe / Austria / Salzburg (Salzburger Land) / Obertauern,683,1630,2313,100,26,"€ 72,-",slope+alt
Ponte di Legno/Tonale/Presena Glacier/Temù (Pontedilegno-Tonale),https://www.skiresort.com/en/ski-resort/ponte-di-legno-tonale-presena-glacier-temu-pontedilegno-tonale/,Italy,Trentino-Alto Adige (Trentino-Südtirol),Trentino / Val di Sole (Sole Valley),1879,1121,3000,100,29,"€ 64,-",slope+alt+glacier
Saas-Fee,https://www.skiresort.com/en/ski-resort/saas-fee/,Switzerland,Lemanic Region,Valais (Wallis) / Saas-Fee/​Saastal,1773,1800,3573,100,23,"SFr. 84,- / approx. € 89,-",slope+alt+glacier
Dévoluy – Superdévoluy/La Joue du Loup,https://www.skiresort.com/en/ski-resort/devoluy-superdevoluy-la-joue-du-loup/,France,Provence-Alpes-Côte d’Azur,Hautes-Alpes / Gap,1000,1500,2500,100,20,"€ 44,-",slope+alt
Les Orres,https://www.skiresort.com/en/ski-resort/les-orres/,France,Provence-Alpes-Côte d’Azur,Hautes-Alpes / Gap,1170,1550,2720,100,17,€ 44.50,slope+alt
Orcières Merlette 1850,https://www.skiresort.com/en/ski-resort/orcieres-merlette-1850/,France,Provence-Alpes-Côte d’Azur,Hautes-Alpes / Gap,875,1850,2725,100,26,"€ 46,-",slope+alt
Bardonecchia,https://www.skiresort.com/en/ski-resort/bardonecchia/,Italy,Piedmont (Piemonte),Turin (Torino) / Susa Valley (Val di Susa),1488,1312,2800,100,22,"€ 49,-",slope+alt
Ski Juwel Alpbachtal Wildschönau,https://www.skiresort.com/en/ski-resort/ski-juwel-alpbachtal-wildschoenau/,Austria,Tyrol (Tirol),Tiroler Unterland / Kufstein / Holiday Region Alpbachtal / Europe / Austria / Tyrol (Tirol) / Tiroler Unterland / Kufstein / Wildschönau,1200,830,2030,97.7,45,€ 71.50,slope+alt
Parsenn (Davos Klosters),https://www.skiresort.com/en/ski-resort/parsenn-davos-klosters/,Switzerland,Eastern Switzerland,Graubünden / Davos Klosters,2034,810,2844,95.5,18,"SFr. 86,- / approx. € 91,-",slope+alt
Chamrousse,https://www.skiresort.com/en/ski-resort/chamrousse/,France,Auvergne-Rhône-Alpes,Isère / Grenoble,850,1400,2250,90,16,€ 43.50,slope+alt
Le Grand Bornand,https://www.skiresort.com/en/ski-resort/le-grand-bornand/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Haute-Savoie / Bornes Aravis,1100,1000,2100,90,25,"€ 49,-",slope+alt
Valberg/Beuil les Launes,https://www.skiresort.com/en/ski-resort/valberg-beuil-les-launes/,France,Provence-Alpes-Côte d’Azur,Alpes-Maritimes / Nice,608,1412,2020,90,23,"€ 37,-",slope+alt
Kaltenbach – Hochzillertal/Hochfügen (SKi-optimal),https://www.skiresort.com/en/ski-resort/kaltenbach-hochzillertal-hochfuegen-ski-optimal/,Austria,Tyrol (Tirol),Tiroler Unterland / Schwaz / Zillertal / Fügen-Kaltenbach,1778,600,2378,89.1,38,"€ 83,-",slope+alt
Rinderberg/Saanerslochgrat/Horneggli – Zweisimmen/Saanenmöser/Schönried/St. Stephan,https://www.skiresort.com/en/ski-resort/rinderberg-saanerslochgrat-horneggli-zweisimmen-saanenmoeser-schoenried-st-stephan/,Switzerland,Espace Mittelland,Bern / Bernese Oberland / Gstaad,1063,948,2011,88.9,16,"SFr. 89,- / approx. € 94,-",slope+alt
Villars/Gryon/Les Diablerets,https://www.skiresort.com/en/ski-resort/villars-gryon-les-diablerets/,Switzerland,Lemanic Region,Waadt,896,1224,2120,87,30,"SFr. 69,- / approx. € 73,-",slope+alt
3 Zinnen Dolomites – Helm/Stiergarten/Rotwand/Kreuzbergpass,https://www.skiresort.com/en/ski-resort/3-zinnen-dolomites-helm-stiergarten-rotwand-kreuzbergpass/,Italy,Trentino-Alto Adige (Trentino-Südtirol),South Tyrol (Südtirol) / 3 Zinnen Dolomites,1095,1130,2225,86.4,19,"€ 80,-",slope+alt
Adelboden/Lenk – Chuenisbärgli/Silleren/Hahnenmoos/Metsch,https://www.skiresort.com/en/ski-resort/adelboden-lenk-chuenisbaergli-silleren-hahnenmoos-metsch/,Switzerland,Espace Mittelland,Bern / Bernese Oberland / Adelboden-Frutigen / Europe / Switzerland / Espace Mittelland / Bern / Bernese Oberland / Lenk-Simmental,940,1260,2200,86,22,,slope+alt
Les Portes du Mont-Blanc – Combloux/Megève le Jaillet/La Giettaz,https://www.skiresort.com/en/ski-resort/les-portes-du-mont-blanc-combloux-megeve-le-jaillet-la-giettaz/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Haute-Savoie / Bonneville / Pays du Mont Blanc / Europe / France / Auvergne-Rhône-Alpes / Savoie Mont Blanc / Savoie / Albertville / Val d'Arly,910,1020,1930,85,20,€ 51.50,slope+alt
Bad Gastein/Bad Hofgastein – Schlossalm/Angertal/Stubnerkogel,https://www.skiresort.com/en/ski-resort/bad-gastein-bad-hofgastein-schlossalm-angertal-stubnerkogel/,Austria,Salzburg (Salzburger Land),Pongau / Gastein,1440,860,2300,82.7,17,€ 78.50,slope+alt
Katschberg,https://www.skiresort.com/en/ski-resort/katschberg/,Austria,Carinthia (Kärnten),Upper Carinthia (Oberkärnten) / Spittal an der Drau / Katschberg-Rennweg,1154,1066,2220,80,17,"€ 73,-",slope+alt
Schmittenhöhe – Zell am See,https://www.skiresort.com/en/ski-resort/schmittenhoehe-zell-am-see/,Austria,Salzburg (Salzburger Land),Pinzgau / Zell am See-Kaprun,1240,760,2000,77,27,"€ 82,-",slope+alt
Damüls Mellau,https://www.skiresort.com/en/ski-resort/damuels-mellau/,Austria,Vorarlberg,Bregenz / Bregenzerwald,1340,710,2050,75.8,21,€ 72.50,slope+alt
Wildkogel – Neukirchen/Bramberg,https://www.skiresort.com/en/ski-resort/wildkogel-neukirchen-bramberg/,Austria,Salzburg (Salzburger Land),Pinzgau / Europe / Austria / Salzburg (Salzburger Land) / Zell am See,1330,820,2150,75,20,€ 69.50,slope+alt
Nauders am Reschenpass – Bergkastel,https://www.skiresort.com/en/ski-resort/nauders-am-reschenpass-bergkastel/,Austria,Tyrol (Tirol),Tiroler Oberland (region) / Landeck / Tiroler Oberland,1350,1400,2750,75,11,"€ 65,-",slope+alt
Puy-Saint-Vincent,https://www.skiresort.com/en/ski-resort/puy-saint-vincent/,France,Provence-Alpes-Côte d’Azur,Hautes-Alpes / Briançon / Vallée de l'Onde à Vallouise,1270,1407,2677,75,11,€ 41.50,slope+alt
Folgaria/Fiorentini,https://www.skiresort.com/en/ski-resort/folgaria-fiorentini/,Italy,Trentino-Alto Adige (Trentino-Südtirol),Trentino / Alpe Cimbra,647,1177,1824,74,28,"€ 59,-",slope+alt
Savognin,https://www.skiresort.com/en/ski-resort/savognin/,Switzerland,Eastern Switzerland,Graubünden / Savognin Bivio Albula / Surses (Oberhalbstein),1545,1168,2713,73.5,12,,slope+alt
Alpe di Siusi (Seiser Alm),https://www.skiresort.com/en/ski-resort/alpe-di-siusi-seiser-alm/,Italy,Trentino-Alto Adige (Trentino-Südtirol),South Tyrol (Südtirol) / Seiser Alm,993,1227,2220,73,21,,slope+alt
Civetta – Alleghe/Selva di Cadore/Palafavera/Zoldo,https://www.skiresort.com/en/ski-resort/civetta-alleghe-selva-di-cadore-palafavera-zoldo/,Italy,Venetia (Veneto),Belluno,1100,1000,2100,72,23,"€ 70,-",slope+alt
Praz de Lys/Sommand (Taninges/Mieussy),https://www.skiresort.com/en/ski-resort/praz-de-lys-sommand-taninges-mieussy/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Haute-Savoie / Bonneville / Faucigny,726,1240,1966,72,23,"€ 36,-",slope+alt
Andermatt/Oberalp/Sedrun,https://www.skiresort.com/en/ski-resort/andermatt-oberalp-sedrun/,Switzerland,Central Switzerland,Uri / Andermatt / Europe / Switzerland / Eastern Switzerland / Graubünden / Disentis Sedrun,1156,1444,2600,70,13,"SFr. 89,- / approx. € 94,-",slope+alt
Scuol – Motta Naluns,https://www.skiresort.com/en/ski-resort/scuol-motta-naluns/,Switzerland,Eastern Switzerland,Graubünden / Engadin Samnaun Val Müstair,1535,1250,2785,70,12,"SFr. 69,- / approx. € 73,-",slope+alt
Titlis – Engelberg,https://www.skiresort.com/en/ski-resort/titlis-engelberg/,Switzerland,Central Switzerland,Engelberg-Titlis,2017,1003,3020,70,18,,slope+alt+glacier
Pila,https://www.skiresort.com/en/ski-resort/pila/,Italy,Aosta Valley (Valle d'Aosta),Aosta and surroundings,1200,1540,2740,70,13,"€ 58,-",slope+alt
Valfréjus,https://www.skiresort.com/en/ski-resort/valfrejus/,France,Auvergne-Rhône-Alpes,Savoie Mont Blanc / Savoie / Maurienne,1187,1550,2737,70,9,"€ 43,-",slope+alt
Dorfgastein/Großarltal,https://www.skiresort.com/en/ski-resort/dorfgastein-grossarltal/,Austria,Salzburg (Salzburger Land),Pongau / Grossarltal / Europe / Austria / Salzburg (Salzburger Land) / Pongau / Gastein,1184,849,2033,67.5,16,€ 81.50,slope+alt
Passo San Pellegrino/Falcade,https://www.skiresort.com/en/ski-resort/passo-san-pellegrino-falcade/,Italy,Trentino-Alto Adige (Trentino-Südtirol),Trentino / Val di Fassa (Fassa Valley/​Fassatal),1323,1190,2513,67.5,15,"€ 71,-",slope+alt
Flumserberg,https://www.skiresort.com/en/ski-resort/flumserberg/,Switzerland,Eastern Switzerland,Heidiland,1557,665,2222,65,17,"SFr. 74,- / approx. € 78,-",slope+alt
Belpiano (Schöneben)/Malga San Valentino (Haideralm),https://www.skiresort.com/en/ski-resort/belpiano-schoeneben-malga-san-valentino-haideralm/,Italy,Trentino-Alto Adige (Trentino-Südtirol),South Tyrol (Südtirol) / Venosta Valley (Vinschgau),930,1460,2390,65,10,"€ 70,-",slope+alt
